dutch,english,category,example_dutch,example_english
het nummer,the number,General,"Ik woon aan de Hoofdstraat, op nummer 29.","I live on Hoofdstraat, at number 29."
het postkantoor,the post office,General,Marieke werkt in het postkantoor.,Marieke works in the post office.
het stadhuis,the city hall,General,Waar is het stadhuis?,Where is the city hall?
het treinstation,the train station,General,Het treinstation in Amsterdam is groot.,The train station in Amsterdam is big.
Hoe gaat het?,How is it going?,General,,
Hoe heet je?,What's your name?,General,,
Hoeveel kost...?,How much does ... cost?,General,Hoeveel kost de vis?,How much does the fish cost?
Hoi!,Hi!,General,,
honger,hungry,General,Ik heb honger.,I'm hungry.
houden van,to love,General,Wij houden van eten.,We love food.
hun ouders,their parents,General,De kinderen wonen bij hun ouders.,The children live with their parents.
Ik begrijp het niet.,I don't understand.,General,"Sorry, ik begrijp het niet. Ik spreek geen Nederlands.","Sorry, I don't understand. I don't speak Dutch."
Ik ben leraar.,I'm a teacher.,General,,
Ik heb dorst.,I'm thirsty.,General,,
Ik heb honger.,I'm hungry.,General,,
Ik spreek Frans en Nederlands.,I speak French and Dutch.,General,,
Ik spreek geen...,I don't speak...,General,Ik spreek geen Arabisch.,I don't speak Arabic.
Is zij Engels?,Is she English?,General,,
ja,yes,General,,
"Ja, natuurlijk!","Yes, of course!",General,,
januari,January,General,,
Japan,Japan,General,"Zij komen uit Japan, ze zijn Japans.","They are from Japan, they're Japanese."
je zus / jouw zus,your sister,General,Waar werkt je zus?,Where does your sister work?
juli,July,General,,
jullie ouders,your (plural) parents,General,Wonen jullie ouders in Nederland?,Do your (plural) parents live in the Netherlands?
juni,June,General,,
kaas,cheese,General,De jongen eet een boterham met kaas.,The boy eats a slice of bread with cheese.
Kan ik bestellen?,Can I order?,General,,
koffie,coffee,General,"Twee koffie, alsjeblieft.","Two coffees, please."
komen uit,to come from,General,Ik kom uit Nederland.,I come from the Netherlands.
kopen,to buy,General,Maria koopt fruit en groenten op de markt.,Maria buys fruit and vegetables at the market.
kort,short,General,Mirjams haar is kort.,Mirjam's hair is short.
kosten,to cost,General,De aardappelen kosten 3 euro.,The potatoes cost 3 euro.
Kun je wat langzamer spreken?,Can you speak a bit more slowly?,General,"Sorry, ik begrijp het niet. Kun je wat langzamer spreken?","Sorry, I don't understand. Can you speak a bit more slowly?"
Kunt u mij helpen?,Can you help me?,General,"Sorry, kunt u mij helpen? Ja natuurlijk!","Excuse me, can you help me? – Yes, of course!"
lang,"long, tall",General,De straat is lang.,The street is long.
lekker,tasty,General,Hij vindt fruit lekker.,He finds fruit tasty.
maart,March,General,,
makkelijk,easy,General,De lessen zijn makkelijk.,The lessons are easy.
meneer,Mr/Sir,General,meneer De Vries,Mr De Vries
mevrouw,Ms/Madam,General,mevrouw Jansen,Ms Jansen
mijn ouders,my parents,General,Mijn ouders wonen in Rotterdam.,My parents live in Rotterdam.
moeilijk,difficult,General,Ik vind Engels moeilijk.,I find English difficult.
nee,no,General,"Nee, dankjewel.","No, thanks."
"Nee, sorry.","No, I'm sorry.",General,,
negen,nine,General,"Dat is negen euro, alstublieft!","That's nine euro, please!"
november,November,General,,
nul,zero,General,,
oktober,October,General,,
onze kinderen,our children,General,Onze kinderen studeren Engels.,Our children study English.
open,open,General,De winkels zijn open.,The stores are open.
oranje,orange,General,Hun T-shirts zijn oranje.,Their T-shirts are orange.
patat,fries (Netherlands),General,Zullen we vandaag patat eten?,Shall we eat fries today? (Netherlands)
pintje,beer,General,"Vier pintjes, alstublieft.","Four beers, please."
Prima!,Fine!,General,,
radio's,radios,General,,
rood,red,General,Mijn lievelingstas is rood.,My favourite bag is red.
rustig,"quiet, calm",General,Het kantoor is rustig.,The office is quiet.
september,September,General,,
sorry,sorry / excuse me,General,,
Spreekt zij Duits?,Does she speak German?,General,,
spreken,to speak,General,Wij spreken Nederlands.,We speak Dutch.
Spreken jullie Frans?,Do you all speak French?,General,,
stad,city,General,Jullie komen uit een stad.,You are from a city.
stamppot,stamppot (mashed potatoes with vegetables),General,We maken stamppot met aardappelen en groenten.,We make stamppot with potatoes and vegetables.
supermarkt,supermarket,General,Martijn koopt groenten in de supermarkt.,Martijn buys vegetables at the supermarket.
thee,tea,General,"Voor mij thee, alsjeblieft.","Tea for me, please."
tien,ten,General,Hugo is nummer 10.,Hugo is number ten.
tomaat,tomato,General,Ik koop tomaten in de supermarkt.,I buy tomatoes at the supermarket.
Turkije,Türkiye,General,"Zij komt uit Turkije, ze is Turks.","She's from Türkiye, she's Turkish."
twaalf,twelve,General,Hij woont op nummer 12.,He lives at number 12.
twee,two,General,Er zijn twee vrouwen.,There are two women.
twintig,twenty,General,Dat kost twintig euro.,That costs twenty euro.
veertien,fourteen,General,We vieren Valentijnsdag op veertien februari.,We celebrate Valentine's Day on 14 February.
vier,four,General,Ik heb vier kinderen.,I have four children.
vies,disgusting,General,De broccoli is vies.,The broccoli is disgusting.
vijf,five,General,Er zitten vijf jongens op de bank.,There are five boys sitting on the bench.
vis,fish,General,Ze koopt vis op de markt.,She buys fish at the market.
vlees,meat,General,Hij is vegetariër. Hij eet geen vlees.,He's a vegetarian. He doesn't eat meat.
Waar kom jij vandaan?,Where are you from?,General,,
Waar komen jullie vandaan?,Where are you all from?,General,,
Waar werk jij?,Where do you work?,General,,
Waar woon jij?,Where do you live?,General,,
Wat doe jij?,What do you do?,General,,
Wat zit er in je tas?,What's in your bag?,General,Wat zit er in je tas? - In mijn tas zitten mijn mobieltje en mijn bril.,What's in your bag? - In my bag are my mobile phone and my glasses.
Welke talen spreek jij?,Which languages do you speak?,General,,
wijn,wine,General,"Drie glazen rode wijn, alsjeblieft.","Three glasses of red wine, please."
wit,white,General,Zijn pinpas is wit.,His bank card is white.
zes,six,General,zes eieren,six eggs
zeven,seven,General,Er zijn zeven dagen in een week.,There are seven days in a week.
zeventien,seventeen,General,,
Zij is Amerikaans.,She is American.,General,,
Zij komen uit Frankrijk.,They come from France.,General,,
Zij zijn Nederlands.,They are Dutch.,General,,
zijn dochter,his daughter,General,Zijn dochter werkt in een kantoor.,His daughter works in an office.
zwart,black,General,Ik vind jouw zwarte tas mooi!,Your black bag is very pretty!
één,one,General,Jij bent nummer één!,You are number one!
huren,to rent,Housing & Furniture,Wij huren een appartement in Amsterdam.,We rent an apartment in Amsterdam.
de huur,the rent,Housing & Furniture,De huur is zeshonderd euro per maand.,The rent is six hundred euros per month.
de keuken,the kitchen,Housing & Furniture,Ik kook in de keuken.,I cook in the kitchen.
de badkamer,the bathroom,Housing & Furniture,De badkamer is boven.,The bathroom is upstairs.
de slaapkamer,the bedroom,Housing & Furniture,Het huis heeft drie slaapkamers.,The house has three bedrooms.
de woonkamer,the living room,Housing & Furniture,We kijken tv in de woonkamer.,We watch TV in the living room.
de bank,the couch,Housing & Furniture,Ik zit op de bank.,I'm sitting on the couch.
de tafel,the table,Housing & Furniture,Het eten staat op de tafel.,The food is on the table.
de stoel,the chair,Housing & Furniture,Er zijn vier stoelen in de keuken.,There are four chairs in the kitchen.
de kast,the cupboard,Housing & Furniture,De borden staan in de kast.,The plates are in the cupboard.
de tuin,the garden,Housing & Furniture,De kinderen spelen in de tuin.,The children play in the garden.
verhuizen,to move (house),Housing & Furniture,Wij verhuizen naar Utrecht.,We are moving to Utrecht.
het bed,the bed,Housing & Furniture,Het bed is groot en comfortabel.,The bed is big and comfortable.
de lamp,the lamp,Housing & Furniture,"Doe de lamp aan, het is donker.","Turn on the lamp, it's dark."
de deur,the door,Housing & Furniture,"Doe de deur dicht, alsjeblieft.","Close the door, please."
het raam,the window,Housing & Furniture,"Doe het raam open, het is warm.","Open the window, it's warm."
de trap,the stairs,Housing & Furniture,De slaapkamer is boven de trap.,The bedroom is up the stairs.
de vloer,the floor,Housing & Furniture,De vloer is schoon.,The floor is clean.
de muur,the wall,Housing & Furniture,Er hangt een foto aan de muur.,There is a photo hanging on the wall.
het balkon,the balcony,Housing & Furniture,We zitten op het balkon.,We sit on the balcony.
de douche,the shower,Housing & Furniture,De douche is in de badkamer.,The shower is in the bathroom.
de spiegel,the mirror,Housing & Furniture,Er is een spiegel in de badkamer.,There is a mirror in the bathroom.
de koelkast,the fridge,Housing & Furniture,De melk staat in de koelkast.,The milk is in the fridge.
de wasmachine,the washing machine,Housing & Furniture,De wasmachine staat in de badkamer.,The washing machine is in the bathroom.
de verdieping,the floor (storey),Housing & Furniture,Wij wonen op de tweede verdieping.,We live on the second floor.
de buren,the neighbours,Housing & Furniture,De buren zijn heel aardig.,The neighbours are very nice.
de huurder,the tenant,Housing & Furniture,De huurder betaalt elke maand.,The tenant pays every month.
de huisbaas,the landlord,Housing & Furniture,De huisbaas woont in Rotterdam.,The landlord lives in Rotterdam.
het toilet,the toilet,Housing & Furniture,Waar is het toilet?,Where is the toilet?
de gordijn,the curtain,Housing & Furniture,Doe de gordijnen dicht.,Close the curtains.
de les,the lesson,Work & School,De les begint om negen uur.,The lesson starts at nine o'clock.
de leraar,the teacher (male),Work & School,De leraar is aardig.,The teacher is nice.
de lerares,the teacher (female),Work & School,De lerares geeft Nederlandse les.,The teacher teaches Dutch lessons.
het huiswerk,the homework,Work & School,Ik moet mijn huiswerk maken.,I have to do my homework.
de cursus,the course,Work & School,Ik volg een cursus Nederlands.,I'm taking a Dutch course.
de baan,the job,Work & School,Hij heeft een nieuwe baan.,He has a new job.
het kantoor,the office,Work & School,Ik werk op een kantoor.,I work in an office.
de baas,the boss,Work & School,Mijn baas is streng maar eerlijk.,My boss is strict but fair.
de collega,the colleague,Work & School,Mijn collega komt uit België.,My colleague is from Belgium.
het examen,the exam,Work & School,Het examen is volgende week.,The exam is next week.
de opleiding,the education / training,Work & School,Welke opleiding heb je gedaan?,What education did you do?
het werk,the work,Work & School,Ik ga om acht uur naar het werk.,I go to work at eight o'clock.
werken,to work,Work & School,Ik werk in een ziekenhuis.,I work in a hospital.
leren,to learn,Work & School,Ik leer Nederlands.,I'm learning Dutch.
de leerling,the student (school),Work & School,Er zijn twintig leerlingen in de klas.,There are twenty students in the class.
de student,the student (university),Work & School,Zij is student aan de universiteit.,She is a student at the university.
de klas,the class / classroom,Work & School,De klas is groot.,The classroom is big.
het beroep,the profession,Work & School,Wat is je beroep?,What is your profession?
de vergadering,the meeting,Work & School,De vergadering begint om twee uur.,The meeting starts at two o'clock.
de vakantie,the holiday / vacation,Work & School,In de vakantie ga ik naar Spanje.,During the holiday I go to Spain.
solliciteren,to apply for a job,Work & School,Ik wil solliciteren bij dat bedrijf.,I want to apply at that company.
het salaris,the salary,Work & School,Het salaris is goed.,The salary is good.
de stage,the internship,Work & School,Ik doe stage bij een bank.,I'm doing an internship at a bank.
de opdracht,the assignment,Work & School,De opdracht is voor morgen.,The assignment is for tomorrow.
het bedrijf,the company,Work & School,Het bedrijf is groot.,The company is big.
de brief,the letter,Work & School,Ik schrijf een brief.,I'm writing a letter.
de computer,the computer,Work & School,Ik werk op de computer.,I work on the computer.
de pen,the pen,Work & School,Mag ik jouw pen lenen?,Can I borrow your pen?
blij,happy,Emotions & Feelings,Ik ben blij dat je er bent.,I'm happy that you're here.
boos,angry,Emotions & Feelings,Waarom ben je boos?,Why are you angry?
bang,afraid / scared,Emotions & Feelings,Ik ben bang voor honden.,I'm afraid of dogs.
verdrietig,sad,Emotions & Feelings,Zij is verdrietig.,She is sad.
moe,tired,Emotions & Feelings,Ik ben moe na het werk.,I'm tired after work.
zenuwachtig,nervous,Emotions & Feelings,Ik ben zenuwachtig voor het examen.,I'm nervous about the exam.
tevreden,satisfied / content,Emotions & Feelings,Ik ben tevreden met mijn werk.,I'm satisfied with my work.
verbaasd,surprised,Emotions & Feelings,Ik was verbaasd over het cadeau.,I was surprised about the present.
trots,proud,Emotions & Feelings,Ik ben trots op mijn zoon.,I'm proud of my son.
eenzaam,lonely,Emotions & Feelings,Soms voel ik me eenzaam.,Sometimes I feel lonely.
gelukkig,fortunate / happy,Emotions & Feelings,Wij zijn heel gelukkig.,We are very happy.
verliefd,in love,Emotions & Feelings,Zij is verliefd.,She is in love.
rusteloos,restless,Emotions & Feelings,Hij is rusteloos vandaag.,He is restless today.
teleurgesteld,disappointed,Emotions & Feelings,Ik ben teleurgesteld.,I'm disappointed.
opgewonden,excited,Emotions & Feelings,De kinderen zijn opgewonden.,The children are excited.
bezorgd,worried,Emotions & Feelings,Mijn moeder is bezorgd.,My mother is worried.
gestrest,stressed,Emotions & Feelings,Ik ben gestrest door het werk.,I'm stressed because of work.
vrolijk,cheerful,Emotions & Feelings,Zij is altijd vrolijk.,She is always cheerful.
benieuwd,curious,Emotions & Feelings,Ik ben benieuwd naar je verhaal.,I'm curious about your story.
de winkel,the shop,Shopping & Money,De winkel is om zes uur gesloten.,The shop closes at six o'clock.
de markt,the market,Shopping & Money,Op zaterdag ga ik naar de markt.,On Saturday I go to the market.
de korting,the discount,Shopping & Money,Er is twintig procent korting.,There is twenty percent discount.
de prijs,the price,Shopping & Money,Wat is de prijs van deze jas?,What is the price of this jacket?
ruilen,to exchange / return,Shopping & Money,Kan ik dit ruilen?,Can I exchange this?
de maat,the size,Shopping & Money,Welke maat heb je nodig?,What size do you need?
passen,to try on / to fit,Shopping & Money,Mag ik dit passen?,May I try this on?
de kassa,the cash register / checkout,Shopping & Money,U kunt betalen bij de kassa.,You can pay at the checkout.
het wisselgeld,the change (money),Shopping & Money,Hier is uw wisselgeld.,Here is your change.
de bon,the receipt,Shopping & Money,Wilt u de bon?,Would you like the receipt?
het warenhuis,the department store,Shopping & Money,Het warenhuis heeft alles.,The department store has everything.
de klant,the customer,Shopping & Money,De klant wil een jas kopen.,The customer wants to buy a jacket.
de aanbieding,the special offer,Shopping & Money,De kaas is in de aanbieding.,The cheese is on special offer.
het tasje,the (plastic) bag,Shopping & Money,Wilt u een tasje?,Would you like a bag?
het winkelcentrum,the shopping centre,Shopping & Money,Het winkelcentrum is in het centrum.,The shopping centre is in the city centre.
de paskamer,the fitting room,Shopping & Money,De paskamer is daar.,The fitting room is over there.
pinnen,to pay by debit card,Shopping & Money,Kan ik hier pinnen?,Can I pay by card here?
gratis,free (no cost),Shopping & Money,De koffie is gratis.,The coffee is free.
warm,warm,Weather & Seasons,Het is warm vandaag.,It's warm today.
heet,hot,Weather & Seasons,Het is te heet buiten.,It's too hot outside.
koel,cool (temperature),Weather & Seasons,Het is koel in de avond.,It's cool in the evening.
de zon,the sun,Weather & Seasons,De zon schijnt.,The sun is shining.
de regen,the rain,Weather & Seasons,"Neem een paraplu, er komt regen.","Take an umbrella, rain is coming."
de sneeuw,the snow,Weather & Seasons,Er ligt sneeuw buiten.,There is snow outside.
bewolkt,cloudy,Weather & Seasons,Het is bewolkt vandaag.,It's cloudy today.
de wind,the wind,Weather & Seasons,Er is veel wind.,There is a lot of wind.
de temperatuur,the temperature,Weather & Seasons,De temperatuur is twintig graden.,The temperature is twenty degrees.
zonnig,sunny,Weather & Seasons,Het wordt morgen zonnig.,It will be sunny tomorrow.
de paraplu,the umbrella,Weather & Seasons,Vergeet je paraplu niet!,Don't forget your umbrella!
sneeuwen,to snow,Weather & Seasons,Het sneeuwt in december.,It snows in December.
de mist,the fog,Weather & Seasons,Er is veel mist op de weg.,There is a lot of fog on the road.
het weer,the weather,Weather & Seasons,Hoe is het weer vandaag?,How is the weather today?
de storm,the storm,Weather & Seasons,Er komt een storm.,A storm is coming.
schoonmaken,to clean,Daily Life,Ik maak het huis schoon.,I'm cleaning the house.
wassen,to wash,Daily Life,Ik was mijn kleren.,I wash my clothes.
strijken,to iron,Daily Life,Ik strijk mijn overhemd.,I iron my shirt.
bellen,to call (phone),Daily Life,Ik bel mijn moeder.,I call my mother.
sturen,to send,Daily Life,Ik stuur een bericht.,I send a message.
de post,the mail / post,Daily Life,Is er post voor mij?,Is there mail for me?
helpen,to help,Daily Life,Kun je mij helpen?,Can you help me?
wachten,to wait,Daily Life,"Wacht even, alsjeblieft.","Wait a moment, please."
beginnen,to begin / start,Daily Life,De film begint om acht uur.,The movie starts at eight o'clock.
schrijven,to write,Daily Life,Ik schrijf een e-mail.,I'm writing an email.
vergeten,to forget,Daily Life,Ik vergeet altijd mijn sleutels.,I always forget my keys.
proberen,to try,Daily Life,Ik wil het proberen.,I want to try it.
kiezen,to choose,Daily Life,Welke wil je kiezen?,Which one do you want to choose?
gebruiken,to use,Daily Life,Ik gebruik de computer.,I use the computer.
opruimen,to tidy up,Daily Life,Ik moet mijn kamer opruimen.,I have to tidy up my room.
de krant,the newspaper,Daily Life,Mijn vader leest de krant.,My father reads the newspaper.
het bericht,the message,Daily Life,Ik heb een bericht gekregen.,I received a message.
de afspraak,the appointment,Daily Life,Ik heb een afspraak bij de dokter.,I have an appointment at the doctor.
thuis,at home,Daily Life,Ik ben thuis.,I'm at home.
buiten,outside,Daily Life,De kinderen spelen buiten.,The children play outside.
binnen,inside,Daily Life,"Kom binnen, het regent.","Come inside, it's raining."
slapen,to sleep,Daily Life,Ik slaap acht uur per nacht.,I sleep eight hours per night.
maken,to make,Daily Life,Ik maak het ontbijt.,I'm making breakfast.
zoeken,to look for / search,Daily Life,Ik zoek mijn sleutels.,I'm looking for my keys.
vinden,to find / to think,Daily Life,Ik vind Nederlands leuk.,I think Dutch is fun.
nieuw,new,Describing Things,Ik heb een nieuw boek.,I have a new book.
oud,old,Describing Things,Het huis is oud.,The house is old.
klein,small,Describing Things,De kamer is klein.,The room is small.
dik,thick / fat,Describing Things,Het boek is dik.,The book is thick.
dun,thin,Describing Things,De muren zijn dun.,The walls are thin.
snel,fast / quick,Describing Things,De trein is snel.,The train is fast.
langzaam,slow,Describing Things,De bus is langzaam.,The bus is slow.
schoon,clean,Describing Things,De keuken is schoon.,The kitchen is clean.
vuil,dirty,Describing Things,De straat is vuil.,The street is dirty.
belangrijk,important,Describing Things,Het examen is belangrijk.,The exam is important.
leuk,fun / nice,Describing Things,Het feest was leuk.,The party was fun.
gevaarlijk,dangerous,Describing Things,Die weg is gevaarlijk.,That road is dangerous.
veilig,safe,Describing Things,Nederland is een veilig land.,The Netherlands is a safe country.
licht,light (not heavy / bright),Describing Things,De tas is licht.,The bag is light.
zwaar,heavy,Describing Things,De koffer is zwaar.,The suitcase is heavy.
stil,quiet / silent,Describing Things,Het is stil in de klas.,It's quiet in the classroom.
luid,loud,Describing Things,De muziek is te luid.,The music is too loud.
dicht,closed / near,Describing Things,De winkel is dicht.,The shop is closed.
breed,wide,Describing Things,De gracht is breed.,The canal is wide.
smal,narrow,Describing Things,De straat is smal.,The street is narrow.
vers,fresh,Describing Things,Het brood is vers.,The bread is fresh.
droog (adj),dry (adjective),Describing Things,De kleren zijn droog.,The clothes are dry.
nat,wet,Describing Things,De straat is nat.,The street is wet.
aardig,nice / kind,Describing Things,De leraar is aardig.,The teacher is nice.
lelijk,ugly,Describing Things,Het gebouw is lelijk.,The building is ugly.
de school,the school,Places & Directions,De kinderen gaan naar school.,The children go to school.
het ziekenhuis,the hospital,Places & Directions,Mijn moeder werkt in het ziekenhuis.,My mother works in the hospital.
de bibliotheek,the library,Places & Directions,Ik leen boeken in de bibliotheek.,I borrow books at the library.
de kerk,the church,Places & Directions,De kerk is in het centrum.,The church is in the city centre.
naast,next to,Places & Directions,De apotheek is naast de supermarkt.,The pharmacy is next to the supermarket.
tegenover,opposite / across from,Places & Directions,Het café is tegenover het station.,The café is opposite the station.
tussen,between,Places & Directions,De school is tussen de kerk en de bibliotheek.,The school is between the church and the library.
achter,behind,Places & Directions,De tuin is achter het huis.,The garden is behind the house.
boven,above / upstairs,Places & Directions,De slaapkamer is boven.,The bedroom is upstairs.
beneden,below / downstairs,Places & Directions,De keuken is beneden.,The kitchen is downstairs.
het restaurant,the restaurant,Places & Directions,We eten in het restaurant.,We eat at the restaurant.
de brug,the bridge,Places & Directions,Ga over de brug.,Go over the bridge.
het park,the park,Places & Directions,We wandelen in het park.,We walk in the park.
de hoek,the corner,Places & Directions,De winkel is om de hoek.,The shop is around the corner.
het politiebureau,the police station,Places & Directions,Het politiebureau is in het centrum.,The police station is in the city centre.
de weg,the road / way,Places & Directions,Welke weg moet ik nemen?,Which road should I take?
hier,here,Places & Directions,De halte is hier.,The stop is here.
daar,there,Places & Directions,Het station is daar.,The station is there.
ver,far,Places & Directions,Is het ver?,Is it far?
dichtbij,nearby / close,Places & Directions,De supermarkt is dichtbij.,The supermarket is nearby.
de buurman,the neighbour (male),Family & People,De buurman is aardig.,The neighbour is nice.
de buurvrouw,the neighbour (female),Family & People,De buurvrouw heeft een kat.,The neighbour has a cat.
de vriend,the friend (male) / boyfriend,Family & People,Mijn vriend heet Thomas.,My friend's name is Thomas.
de vriendin,the friend (female) / girlfriend,Family & People,Mijn vriendin woont in Den Haag.,My girlfriend lives in The Hague.
het kind,the child,Family & People,Het kind speelt buiten.,The child plays outside.
de baby,the baby,Family & People,De baby slaapt.,The baby is sleeping.
de man,the man / husband,Family & People,De man werkt in een kantoor.,The man works in an office.
de vrouw,the woman / wife,Family & People,De vrouw koopt groente.,The woman buys vegetables.
de dokter,the doctor,Family & People,Ik ga naar de dokter.,I'm going to the doctor.
het meisje,the girl,Family & People,Het meisje leest een boek.,The girl reads a book.
de jongen,the boy,Family & People,De jongen speelt voetbal.,The boy plays football.
de oom,the uncle,Family & People,Mijn oom woont in Groningen.,My uncle lives in Groningen.
de tante,the aunt,Family & People,Mijn tante is lerares.,My aunt is a teacher.
de neef,the cousin (male) / nephew,Family & People,Mijn neef studeert in Leiden.,My cousin studies in Leiden.
