text,translation,strength,example_translated,example,audio,image
betalen,to pay,Weak,The boy doesn't pay for his bus ticket.,De jongen betaalt niet voor zijn buskaartje.,https://cdn.busuu.com/media/resized/audio/a_l_str___1613555523.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1612401119_720.jpg
bier,beer,Strong,"A beer for me, please.","Voor mij een biertje, alsjeblieft.",https://cdn.busuu.com/media/resized/audio/a_l_str___1609399472.mp3,https://cdn.busuu.com/media/resized/entity/720/bier_1606722630_720.jpg
blauw,blue,Strong,I want to buy a blue bag.,Ik wil een blauwe tas kopen.,https://cdn.busuu.com/media/resized/audio/a1_l47_str_c2d8a9b7cbbd4273aa3463445e5dfa871646050856_1646050856.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_6301522131_1643897310_720.jpg
blijven,to stay,Weak,He's staying home this evening and reading a book.,Hij blijft vanavond thuis en hij leest een boek. ,https://cdn.busuu.com/media/resized/audio/a_l_str___1613668057.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611154581_720.jpg
boodschappen,groceries,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/groceries_1606985356_720.jpg
boodschappen doen,to do grocery shopping,Strong,He does his grocery shopping at the supermarket.,Hij doet boodschappen in de supermarkt.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609326701.mp3,https://cdn.busuu.com/media/resized/entity/720/boodschappendoen_1606984240_720.jpg
boterham,a slice of bread,Strong,He eats a slice of bread with cheese.,Hij eet een boterham met kaas.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609400569.mp3,https://cdn.busuu.com/media/resized/entity/720/boterham_1606820167_720.jpg
brood,bread,Strong,"Can I have some bread, please?","Mag ik wat brood, alstublieft?",https://cdn.busuu.com/media/resized/audio/a_l_str___1609400542.mp3,https://cdn.busuu.com/media/resized/entity/720/brood_1606819460_720.jpg
broodje,sandwich,Strong,"Can I have a cheese sandwich and coffee, please?","Mag ik een broodje kaas en koffie, alsjeblieft?",https://cdn.busuu.com/media/resized/audio/a_l_str___1608807501.mp3,https://cdn.busuu.com/media/resized/entity/720/broodje_1606800489_720.jpg
bruin,brown,Strong,I have a brown bag.,Ik heb een bruine tas.,https://cdn.busuu.com/media/resized/audio/a1_l47_str_fbd26cbab98445ca92228949b0eedded1646051260_1646051260.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_1226933791_1643898101_720.jpg
China,China,Strong,"You are from China, you are Chinese.","Jullie komen uit China, jullie zijn Chinees.",https://cdn.busuu.com/media/resized/audio/a_l_str___1608717752.mp3,https://cdn.busuu.com/media/resized/entity/720/china_1605693844_720.jpg
contant betalen,to pay in cash,Weak,I would like to pay in cash. Is that possible?,Ik wil graag contant betalen. Kan dat?,https://cdn.busuu.com/media/resized/audio/a_l_str___1613555539.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1612123039_720.jpg
dankjewel,thank you,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/dankjewel_1604294247_720.jpg
de apotheek,the pharmacy,Strong,I order medication in the pharmacy.,Ik bestel medicijnen in de apotheek.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609404821.mp3,https://cdn.busuu.com/media/resized/entity/720/apotheek_1607407757_720.jpg
de atletiek,athletics,Weak,I like sports and I do athletics.,Ik sport graag. Ik doe aan atletiek.,https://cdn.busuu.com/media/resized/audio/a1_l75_str_5dbf0cf16b80469aab590f80a935e18e1652272064_1652272064.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_3624365301650438075_1650438075_720.jpg
de auto,the car,Weak,"Do you always go to work by car? — No, I usually take the bus.","Ga je altijd met de auto naar het werk? — Nee, ik neem meestal de bus.",https://cdn.busuu.com/media/resized/audio/a_l_str___1613669463.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611850009_720.jpg
de automaat,the ticket machine / the vending machine,Weak,I always buy my train tickets from a machine.,Ik koop mijn treinkaartjes altijd bij een automaat.,https://cdn.busuu.com/media/resized/audio/a_l_str___1613671626.mp3,https://cdn.busuu.com/media/resized/entity/720/deautomaat_1612340830_720.jpg
de avond,the evening,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/avond_1609925767_720.jpg
de bagage,the luggage,Weak,My luggage weighs 22 kg.,Mijn bagage weegt 22 kilo.,https://cdn.busuu.com/media/resized/audio/a_l_str___1615661724.mp3,https://cdn.busuu.com/media/resized/entity/720/debagage_1613464923_720.jpg
de bakfiets,the cargo bike,Weak,Our family often takes the cargo bike.,Onze familie neemt vaak de bakfiets.,https://cdn.busuu.com/media/resized/audio/a_l_str___1613669784.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611852541_720.jpg
de bioscoop,the cinema,Medium,My boyfriend and I go to the cinema every Sunday.,Mijn vriend en ik gaan elke zondag naar de bioscoop.,https://cdn.busuu.com/media/resized/audio/a_l_str___1612424314.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610306922_720.jpg
de bril,the glasses,Strong,Her glasses are on the table.,Haar bril ligt op de tafel.,https://cdn.busuu.com/media/resized/audio/a1_l45_str_076e205bc03847fabaac12ccf51939b11646047122_1646047122.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_1536338495_1643813631_720.jpg
de broer,the brother,Strong,This is my brother Joris. He's living in Spain.,Dit is mijn broer Joris. Hij woont in Spanje.,https://cdn.busuu.com/media/resized/audio/a1_l42_str_74697e6c8f36440dae6566229ae6a52e1654766478_1654766478.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_18027604181651734449_1651734449_720.jpg
de bromfiets,the moped,Weak,My daughter would like to have a moped for her birthday. ,Mijn dochter wil graag een bromfiets voor haar verjaardag. ,https://cdn.busuu.com/media/resized/audio/a_l_str___1613669739.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611851964_720.jpg
de bus,the bus,Weak,The children take the bus every day.,De kinderen nemen elke dag de bus. ,https://cdn.busuu.com/media/resized/audio/a_l_str___1613669405.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611848455_720.jpg
de dag,the day,Strong,What day is it today?,Welke dag is het vandaag?,https://cdn.busuu.com/media/resized/audio/a_l_str___1610729348.mp3,https://cdn.busuu.com/media/resized/entity/720/dedag_1608269949_720.jpg
de dochter,the daughter,Strong,My daughter's name is Floor.,Mijn dochter heet Floor.,https://cdn.busuu.com/media/resized/audio/str___1610630685.mp3,https://cdn.busuu.com/media/resized/entity/720/pexelsanastasiashuraeva894358511651670001_1651670001_720.jpg
de douane,customs,Weak,Customs are checking the passports of all passengers.,De douane bekijkt de paspoorten van alle reizigers.,https://cdn.busuu.com/media/resized/audio/florisflemishbusuuaudioa_l_str___1615907822.mp3,https://cdn.busuu.com/media/resized/entity/720/dedouane_1613464644_720.jpg
de eenpersoonskamer,the single room,Weak,I'd like to book a single room.,Ik wil graag een eenpersoonskamer boeken.,https://cdn.busuu.com/media/resized/audio/a_l_str___1615662419.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1613459981_720.jpg
de fiets,the bike,Strong,We're going to the cinema by bike.,We gaan met de fiets naar de bioscoop.,https://cdn.busuu.com/media/resized/audio/a_l_str___1613669626.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611850352_720.jpg
de film,the film,Strong,We're watching a new film at the cinema.,We kijken een nieuwe film in de bioscoop.,https://cdn.busuu.com/media/resized/audio/a_l_str___1612424549.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610306945_720.jpg
de gate,the gate,Weak,The plane to Rome departs from gate 15.,Het vliegtuig naar Rome vertrekt van gate 15.,https://cdn.busuu.com/media/resized/audio/a_l_str___1615661665.mp3,https://cdn.busuu.com/media/resized/entity/720/degate_1613464448_720.jpg
de gracht ,the city canal,Weak,The city canals in Amsterdam are world famous.,De Amsterdamse grachten zijn wereldberoemd.,https://cdn.busuu.com/media/resized/audio/a_l_str___1615823996.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_1054406061661241907_1661241907_720.jpg
de hagelslag,the chocolate sprinkles,Strong,Floris sometimes eats a sandwich with chocolate sprinkles for breakfast.,Floris eet soms een boterham met hagelslag als ontbijt.,https://cdn.busuu.com/media/resized/audio/a1_l59_str_8313e6685adc4eaf8f873ec02ab388e71646997928_1646997928.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_102844297311645444298_1645444298_720.jpg
de halte,the stop,Weak,The bus stop is near the tram stop.,De bushalte is dichtbij de tramhalte.,https://cdn.busuu.com/media/resized/audio/a_l_str___1613671570.mp3,https://cdn.busuu.com/media/resized/entity/720/dehalte_1612339806_720.jpg
de handbagage,the hand luggage,Weak,I'm bringing my laptop in my hand luggage.,Ik neem mijn laptop mee als handbagage.,https://cdn.busuu.com/media/resized/audio/florisflemishbusuuaudioa_l_str___1615907840.mp3,https://cdn.busuu.com/media/resized/entity/720/dehandbagage_1613465152_720.jpg
de herfst,the autumn,Weak,"In the autumn, the trees are beautiful! They have many colours.",In de herfst zijn de bomen prachtig! Ze hebben veel kleuren.,https://cdn.busuu.com/media/resized/audio/a_ll_str___1616054930.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1614283496_720.jpg
de hond,the dog,Strong,My grandma has a dog.,Mijn oma heeft een hond.,https://cdn.busuu.com/media/resized/audio/a1_l48_str_f28769a43b6047878b16ad46ce6e60321655110691_1655110691.mp3,https://cdn.busuu.com/media/resized/entity/720/pexelshelenalopes225327511653400519_1653400519_720.jpg
de kamer,the room,Weak,There are 25 rooms in the hotel.,Er zijn 25 kamers in het hotel. ,https://cdn.busuu.com/media/resized/audio/a_l_str___1615824409.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1613459817_720.jpg
de kat,the cat,Strong,My grandad has three cats.,Mijn opa heeft drie katten.,https://cdn.busuu.com/media/resized/audio/str___1610630824.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_10347203261653405279_1653405279_720.jpg
de lente,the spring,Weak,"In the spring, the days get longer.",In de lente worden de dagen steeds langer.,https://cdn.busuu.com/media/resized/audio/florisflemishbusuuaudioa_ll_str___1615925970.mp3,https://cdn.busuu.com/media/resized/entity/720/lenteiii_1614345707_720.jpg
de lunch,the lunch,Strong,Lunch is usually the second meal of the day.,De lunch is meestal de tweede maaltijd van de dag.,https://cdn.busuu.com/media/resized/audio/a1_l59_str_ddc657f98ebd421aa4be7f3f9fb52d231646997854_1646997854.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_6055806651645440895_1645440895_720.jpg
de maaltijd,the meal ,Strong,We usually eat a warm meal in the evening.,We eten 's avonds meestal een warme maaltijd.,https://cdn.busuu.com/media/resized/audio/a1_l59_str_361e63256183466f9c9037160b2e706e1646990949_1646990949.mp3,https://cdn.busuu.com/media/resized/entity/720/pexelscottonbro695406311645440096_1645440096_720.jpg
de maand,the month,Strong,July is the seventh month of the year.,Juli is de zevende maand van het jaar. ,https://cdn.busuu.com/media/resized/audio/a_l_str___1610734928.mp3,https://cdn.busuu.com/media/resized/entity/720/maad_1608049220_720.jpg
de metro,the metro,Weak,We can take the metro to the city centre.,We kunnen de metro tot in het centrum nemen.,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1613589821.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611850234_720.jpg
de middag,the afternoon,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/middag_1609925661_720.jpg
de moeder,the mother,Strong,My mother's name is Miriam.,Mijn moeder heet Miriam.,https://cdn.busuu.com/media/resized/audio/a1_l41_str_663042d5a3e5489889026b0db6bfb8611654705308_1654705308.mp3,https://cdn.busuu.com/media/resized/entity/720/pexelsoleksandrpidvalnyi100777311651671536_1651671536_720.jpg
de molen,the windmill,Weak,There are a lot of windmills in Kinderdijk.,Op Kinderdijk staan veel molens.,https://cdn.busuu.com/media/resized/audio/a_l_str___1615824035.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_10311704981661243267_1661243267_720.jpg
de motor,the motorbike,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611852324_720.jpg
de Noordzee,the North Sea,Weak,We want to visit the North Sea this weekend.,We willen dit weekend de Noordzee bezoeken.,https://cdn.busuu.com/media/resized/audio/florisflemishbusuuaudioa_l_str___1615907702.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_16673990381661243453_1661243453_720.jpg
de oma,the grandma,Strong,My grandma's living in Lelystad.,Mijn oma woont in Lelystad.,https://cdn.busuu.com/media/resized/audio/a1_l48_str_4f8263ddd35e4e2598194547d41a12d71655110322_1655110322.mp3,https://cdn.busuu.com/media/resized/entity/720/pexelscottonbro558524911653399564_1653399564_720.jpg
de opa,the grandad,Strong,My grandad's name is Jim.,Mijn opa heet Jim.,https://cdn.busuu.com/media/resized/audio/a1_l48_str_06e28b10e52946a0b1bc5ff642b21dc31655110458_1655110458.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_11425707441653399933_1653399933_720.jpg
de pinpas,the bank card,Strong,He puts his bank card in his wallet.,Hij steekt zijn pinpas in zijn portemonnee.,https://cdn.busuu.com/media/resized/audio/a1_l45_str_3db9529ff18e4adb97a4140a6c5fda531646047027_1646047027.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_11142750591_1643812978_720.jpg
de portemonnee,the wallet,Strong,What's in your bag? - My wallet!,Wat zit er in je tas? - Mijn portemonnee!,https://cdn.busuu.com/media/resized/audio/a1_l45_str_4de9477330474f169842d88e61d5d53f1646046928_1646046928.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_687128584_1643812829_720.jpg
de receptie,the reception,Weak,You can check in at the reception.,U kunt inchecken bij de receptie. ,https://cdn.busuu.com/media/resized/audio/a_l_str___1615662476.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1613460450_720.jpg
de rekening,the bill,Strong,"Can I have the bill, please?","Mag ik de rekening, alstublieft?",https://cdn.busuu.com/media/resized/audio/a_l_str___1608807535.mp3,https://cdn.busuu.com/media/resized/entity/720/rekening_1606801816_720.jpg
de sleutels,the keys,Strong,The keys are on the cupboard.,De sleutels liggen op de kast.,https://cdn.busuu.com/media/resized/audio/a1_l45_str_9433f7f9da3e4de0bd7db66fec5a8b8f1646046742_1646046742.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_291563078_1643806005_720.jpg
de straat,the street,Strong,He lives on Kerkstraat.,Hij woont aan de Kerkstraat.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609424895.mp3,https://cdn.busuu.com/media/resized/entity/720/straat_1606986736_720.jpg
de taart,the cake,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/taart_1608643839_720.jpg
de tas,the bag,Strong,My sister puts her bag on the table.,Mijn zus zet haar tas op tafel.,https://cdn.busuu.com/media/resized/audio/a1_l45_str_9be5b9fe450f43fcbc127ca05cef032b21646046391_1646046391.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_5388598571_1643805036_720.jpg
de taxi,the taxi,Weak,I take the taxi to the airport.,Ik neem de taxi naar de luchthaven.,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1613589976.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611851706_720.jpg
de tram,the tram,Strong,The tram stops close to the post office.,De tram stopt dicht bij het postkantoor.,https://cdn.busuu.com/media/resized/audio/a_l_str___1613669688.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611850539_720.jpg
de trein,the train,Strong,"This train doesn't stop in Middelburg, so I'll go by bus.","Deze trein stopt niet in Middelburg, dus ik ga met de bus.",https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1613589793.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611848741_720.jpg
de tweepersoonskamer,the double room,Weak,Have you got a double room for next weekend?,Heeft u een tweepersoonskamer voor volgend weekend?,https://cdn.busuu.com/media/resized/audio/a_l_str___1615662446.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1613460067_720.jpg
de uitnodiging,the invitation,Strong,This is an invitation to my party.,Dit is een uitnodiging voor mijn feestje.,https://cdn.busuu.com/media/resized/audio/a_l_str___1610736222.mp3,https://cdn.busuu.com/media/resized/entity/720/uitnodiging_1609406924_720.jpg
de universiteit,the university,Strong,Rianne studies French at the university in Utrecht.,Rianne studeert Frans aan de universiteit in Utrecht.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609332900.mp3,https://cdn.busuu.com/media/resized/entity/720/universiteit_1607407949_720.jpg
de vader,the father,Strong,My father's from Maastricht.,Mijn vader komt uit Maastricht.,https://cdn.busuu.com/media-resources/audio/90474cb2-826c-410a-b447-490377f5e0db.mp3,https://cdn.busuu.com/media/resized/entity/720/pexelspixabay3830211651668808_1651668808_720.jpg
de Verenigde Staten,the United States,Strong,"We are from the United States, we're American.","Wij komen uit de Verenigde Staten, wij zijn Amerikaans.",https://cdn.busuu.com/media/resized/audio/florisenglishcourseaudioa_l_str___1608568029.mp3,https://cdn.busuu.com/media/resized/entity/720/vs_1605693806_720.jpg
de verjaardag,the birthday,Strong,It's Sander's birthday.,Het is de verjaardag van Sander.,https://cdn.busuu.com/media/resized/audio/str___1610632357.mp3,https://cdn.busuu.com/media/resized/entity/720/verjaardag_1608638275_720.jpg
de vertraging,the delay,Weak,The train is delayed by two hours.,De trein heeft twee uur vertraging.,https://cdn.busuu.com/media/resized/audio/a_l_str___1613555223.mp3,https://cdn.busuu.com/media/resized/entity/720/vertraging_1612086100_720.jpg
de vertrektijden,the departure times,Weak,The departure times of all trains can be found online.,De vertrektijden van alle treinen staan online.,https://cdn.busuu.com/media/resized/audio/a_l_str___1613555420.mp3,https://cdn.busuu.com/media/resized/entity/720/devertrektijden_1612341838_720.jpg
de wedstrijd,the match,Medium,The team plays a match every weekend.,Het team speelt elk weekend een wedstrijd.,https://cdn.busuu.com/media/resized/audio/a1_l74_str_33106433efc74af9a4f9b25718e7c21f1652258528_1652258528.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_10071916391650353855_1650353855_720.jpg
de week,the week,Strong,A week has seven days.,Een week heeft zeven dagen.,https://cdn.busuu.com/media/resized/audio/a_l_str___1610729526.mp3,https://cdn.busuu.com/media/resized/entity/720/deweek_1608270139_720.jpg
de winter,the winter,Weak,"In the winter, you can skate on the ice.",In de winter kan je schaatsen op het ijs.,https://cdn.busuu.com/media/resized/audio/a_ll_str___1615841683.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1614283695_720.jpg
de yoga,yoga,Weak,Sofia does yoga.,Sofia doet aan yoga.,https://cdn.busuu.com/media/resized/audio/a1_l75_str_cd2eecfd194e4a8080cc08f26ffaedcf1652272046_1652272046.mp3,https://cdn.busuu.com/media/resized/entity/720/pexelstimamiroshnichenko592824311650437837_1650437837_720.jpg
de zomer,the summer,Weak,"In the summer, it's common to see Belgians or Dutch people spending a day by the sea.",In de zomer gaan Belgen en Nederlanders graag een dagje naar de zee.,https://cdn.busuu.com/media/resized/audio/dezomer_1615926133.mp3,https://cdn.busuu.com/media/resized/entity/720/strand_1614286787_720.jpg
de zoon,the son,Strong,My son's name is Daniel.,Mijn zoon heet Daniel.,https://cdn.busuu.com/media/resized/audio/florisbusuuaudiostr___1611213860.mp3,https://cdn.busuu.com/media/resized/entity/720/pexelsivansamkov462497011651669548_1651669548_720.jpg
de zus,the sister,Strong,This is my sister Karen. She's a doctor.,Dit is mijn zus Karen. Ze is dokter.,https://cdn.busuu.com/media/resized/audio/a1_l42_str_44537c6b117a445ca32bfa5cdfb0cfeb1654766433_1654766433.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_1449078191651734372_1651734373_720.jpg
dertien,thirteen,Strong,I'm going to floor thirteen.,Ik ga naar verdieping dertien.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608808772.mp3,https://cdn.busuu.com/media/resized/entity/720/floor_1607081785_720.jpg
dichtstbijzijnde,nearest,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/__dichtsbijzijnde_1607101222_720.jpg
Dit is...,This is...,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/shutterstock_1903770051651734185_1651734185_720.jpg
donker,dark,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/donker_1614603378_720.jpg
dorp,village,Strong,They are from a village.,Zij komen uit een dorp.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608717643.mp3,https://cdn.busuu.com/media/resized/entity/720/dorp_1605693560_720.jpg
dorst,thirsty,Strong,I'm thirsty.,Ik heb dorst.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608807849.mp3,https://cdn.busuu.com/media/resized/entity/720/dorst_1606899594_720.jpg
drie,"three
",Strong,three dogs,drie honden,https://cdn.busuu.com/media/resized/audio/a_l_str___1608564000.mp3,https://cdn.busuu.com/media/resized/entity/720/drie_honden_1605010557_720.jpg
drinken,to drink,Strong,He likes drinking wine. It's his favourite drink.,Hij drinkt graag wijn. Het is zijn favoriete drank.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609400485.mp3,https://cdn.busuu.com/media/resized/entity/720/drinken_1606817301_720.jpg
droog,dry,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/nat_droog_1614603401_720.jpg
druk,busy,Strong,The restaurant is busy.,Het restaurant is druk.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609332662.mp3,https://cdn.busuu.com/media/resized/entity/720/druk_1607082063_720.jpg
Duitsland,Germany,Strong,"She's from Germany, she's German.","Zij komt uit Duitsland, zij is Duits.",https://cdn.busuu.com/media/resized/audio/florisenglishcourseaudioa_l_str___1608567556.mp3,https://cdn.busuu.com/media/resized/entity/720/duitsland_1606281499_720.jpg
duur,expensive,Strong,The apples are expensive.,De appels zijn duur.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609331919.mp3,https://cdn.busuu.com/media/resized/entity/720/appelsduur_1607432033_720.jpg
een beetje,a little,Strong,I speak a little Dutch.,Ik spreek een beetje Nederlands.,https://cdn.busuu.com/media/resized/audio/a1_l23_str_65ae6f9de6c5447ab60ccddf57709fd3_1644927293.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_16038961301_1642434903_720.jpg
een douche nemen,to have a shower,Strong,Jim has a shower before breakfast.,Jim neemt een douche voor het ontbijt.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611135608.mp3,https://cdn.busuu.com/media/resized/entity/720/douche_1610029252_720.jpg
een terrasje pakken,to have a drink on a terrace,Weak,We're going to have a drink on a terrace. Do you want to come along?,We gaan een terrasje pakken. Kom je mee?,https://cdn.busuu.com/media-resources/audio/093c990b-edf4-443c-a76a-9b6c36e61ef7.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_21414994651661241091_1661241091_720.jpg
eergisteren,the day before yesterday,Strong,I had a philosophy exam the day before yesterday.,Ik had eergisteren een examen Filosofie.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611135229.mp3,https://cdn.busuu.com/media/resized/entity/720/overmorgen_1609924011_720.jpg
elf,eleven,Strong,He's eleven years old.,Hij is elf jaar oud.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609332444.mp3,https://cdn.busuu.com/media/resized/entity/720/elf_1607081430_720.jpg
elke,every,Strong,I cook every day.,Ik kook elke dag.,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1611215864.mp3,https://cdn.busuu.com/media/resized/entity/720/elke_1610515611_720.jpg
